#space dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)	#space dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries	#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun' by default	#          3) Added category as 'noun' by default
###############################################################################	###############################################################################
annular_noun	valayAkAra/CallexAra/CallenumA
anode_noun	Enoda
anomalous_noun	asafgawa
anomaly_noun	asafgawi
anorogenic_noun	apavarwanI
anoxia_noun	anoYksiwA
anoxicity_noun	anAksiwawA
antarctic_noun	EntArkataka/xakRiNa_XruvIya
antenna_noun	EntenA
anthropogenic_noun	mAnavoxBavI/mAnavajanya
anti-coincidence_noun	|AwisampAwa
antibunched_noun	prawigucCiwa
antibunching_noun	prawigucCana
anticus_noun	agrABimuKa
antielastic_noun	prawyAsWawAroXI
antiferromagnetics_noun	prawilohacumbakIya_paxArWa
antihalation_noun	prawyAmApana
antilogarithm_noun	EntIlAgariWma/prawilaGugaNaka
antimatter_noun	Entixravya/prawixravya
antimicrophonic_noun	prawimAikroPonika
antimissile_noun	misAilaroXI
antinode_noun	praspanxa
antiparallax_noun	pErelEksahArI
antipleion_noun	nyUnawA_kRewra
antiresonance_noun	prawianunAxa
aperture_noun	xvAraka
apical_noun	SIrRasWa
apogee_noun	apaBU
apogeotropic_noun	BU-apavarwI
apollo_noun	apolo
apparatus_noun	upakaraNa
apparent_noun	ABAsI
apparition_noun	AvirBAva
appearance_noun	prakatana/uxBAsa
appendage_noun	anubanXa
applicability_noun	prayojyawA/prayojanIyawA/upayogaparawA
application_noun	anuprayoga/anuprayojyawA
applied_noun	anuprayukwa
appreciable_noun	suprekRya
appression_noun	ArAnuBUwi
approach_noun	upagamana
appropriate_noun	upayukwa/samuciwa
approximate_noun	sannikata
approximately_noun	sannikatawa:
approximation_noun	sannikatana
arbitrary_noun	svecCa/yAxqcCika
archieval_noun	purAleKI/aBisafgrahI
archieving_noun	aBisafgraha
architectural_noun	vAswukalAwmaka
area_noun	kRewra/kRewraPala
areography_noun	kRewra_vijFAna
argon_noun	Argana
argument_noun	warka/koNAfka
aries_noun	meRa/erIja
armature_noun	Armecara
arming_noun	sajjIkaraNa
aromatic_noun	Erometika
array_noun	vyUha/saraNI
artesian_noun	uwsruwa
artificial_noun	kqwrima
aseismic_noun	aBUkampI
aspect_noun	aBimuKawA
assemblage_noun	kodAnwaraNa/samuccaya
assembled_noun	sajjiwa/kodAnwariwa
assembler_noun	kodAnwaraka
assembly_noun	kodAnwaraNa
assessment_noun	nirXAraNa
assigned_noun	nirxiRta
assimilating_noun	svAfgI
associate_noun	sambaxXa
associated_noun	sambaxXa/sahacArI/safguNiwa
asterik_noun	wArAfka
asteroid_noun	grahikA/kRuxragraha
asteroidal_noun	grahikIya/kRuxragrahIya
asthenosphere_noun	xurbalawA_maNdala
astrocompass_noun	Kagola_kampAsa
astrodome_noun	Kagola_gumbaxa
astrogation_noun	anwarikRa_nOcAlana
astrogeology_noun	Kagola_BUvijFAna
astrographic_noun	wArAciwrI
astrolabe_noun	Estroleba/unnawAMSamApI
astrometry_noun	Kagolamiwi
astronaut_noun	anwarikRayAwrI
astronautics_noun	anwarikRayAnikI
astronomy_noun	Kagola_vijFAna/KagolikI
astropart_noun	Kagola_BAga
astrophysical_noun	Kagola_BOwikIya
astrophysics_noun	Kagola_BOwikI/wArA_BOwikI
asymmetric_noun	asamamiwa
asymmetricity_noun	asamamiwawA
asymmetry_noun	asamamiwi
asymptote_noun	ananwasparSI
asymptotic_noun	upagAmI
asynchronous_noun	awulyakAlika
atlas_noun	mAnaciwrAvalI/etalasa
atmosphere_noun	vAyumaNdala
atmospherics_noun	vAyu-vExyuwa_kRoBa/vAyumaNdalIya_vijFAna
atom_noun	paramANu
atomisation_noun	kaNIkaraNa/kaNana
atomiser_noun	kaNiwra
attenuation_noun	kRINana
attenuator_noun	kRINakArI
attitude_noun	aBivqwwi
attraction_noun	AkarRaNa
attributable_noun	guNAropya
audibility_noun	SravyawA
audible_noun	Sravya
audio_noun	SravaNa
audiogram_noun	SravyawA_AleKa
audiology_noun	SravaNa_vijFAna
audiometry_noun	SravyawAmiwi
augmenting_noun	saMvarXana
authorisation_noun	prAXikIkaraNa
autocatalysis_noun	svowpreraNa
autocatalyst_noun	svowpreraka
autoclave_noun	oYtokleva
autocoder_noun	oYtokodara/svawa:_kodiwra
autocorrelation_noun	svasahasambanXa
autogyro_noun	AtojAyaro
automate_noun	svawa:cAliwa
automation_noun	svacAlana/svacAliwa_yanwra
autopositive_noun	svawa:_XanAwmaka
autorotation_noun	svawa:_GUrNana
auxiliary_noun	sahAyaka/gONa/awirikwa
availability_noun	upalabXawA/prApyawA
avalanche_noun	sKalana/EvalAMSa/avaXAva
avionics_noun	uddayanakI
axial_noun	akRIya
axion_noun	EksiyAna
axis_noun	akRa
axisymmetric_noun	akRawa:_samamiwa
axisymmetry_noun	akRIya_samamiwi
azeotrope_noun	sWirakvAWI/ejotropa
azimuth_noun	xigaMSa
azimuthal_noun	xigaMSIya
azocompound_noun	EjoyOgika
b-display_noun	bIpraxarSa
backing_noun	xqDaaswaraNa
backout_noun	prawivarwana
