#geotechnology dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)	#geotechnology dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries	#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun' by default	#          3) Added category as 'noun' by default
#################################################################################	#################################################################################
classification_noun	vargIkaraNa
clay_noun	mqwwikA/cikanI_mittI
clinker_noun	KaFjada/klMAkira
clinkering_noun	KaFjarIlA
coarse_noun	motA
code_noun	koda/saMhiwA
cohesive_noun	salAfgaSIlawA/sata_jAne_kI_pravqwwi
commissioning_noun	pravarwana_meM_lAnA/cAlU_karanA
complanate_noun	cOrasa/samawala
compressibility_noun	sampIdyawA
compression_noun	sampIdana
compressor_noun	sampIdaka
concentrate_noun	gADA/sAnxra
condenser_noun	safGaniwra/xravaNiwra/parikaliwra
conductivity_noun	cAlakawA
conduits_noun	nalikA/galI/nala/vAhikA
confluence_noun	safgama
consideration_noun	vicAra
consistence_noun	vinyAsa/safgawi/sAmaFjasya/gADApana
consolidation_noun	sampiMdana/GanIkaraNa
consolidometer_noun	sampiMdana_mApI
contamination_noun	sanxURaNa
control_noun	niyanwraNa
correction_noun	saMSoXana
corrosion_noun	safkRAraNa
coupling_noun	yugmana
criteria_noun	kasOtI/mAnaxaNda
crushed_noun	sanxaliwa
crystallization_noun	ravAkaraNa
cube_noun	Gana
curing_noun	saMsAXana/warAI_(wara_karanA)
cylinder_noun	belana/silindara
dam_noun	bAnXa
decantation_noun	niRAraNa/niswAraNa
decomposition_noun	apaGatana
definition_noun	pariBARA
deformability_noun	virUpyawA
dehydration_noun	nirjalIkaraNa
density_noun	Ganawva
description_noun	varNana
desiccant_noun	jala_SuRkaka
design_noun	aBikalpa
deterioration_noun	avanawi
determination_noun	nirXAraNa
device_noun	yukwi
dewatering_noun	vijalana/jala_niRkAsana/jalApacayana
diffusivity_noun	viswAra/visaraNaSIlawA
dilatation_noun	viswAraNa
dilatometer_noun	viswAramApI
dilute_noun	virala_karanA
dimension_noun	AyAma/parimApa
direct_noun	prawyakRa/sIXA
discharge_noun	nissaraNa
displacement_noun	visWApana
distributaries_noun	viwarikAeM
diversification_noun	viviXIkaraNa
downstream_noun	anupravAha
drainage_noun	jalanikAsI
drawdown_noun	jalAvawalana
drawings_noun	AreKa/reKAciwra
dredging_noun	pafkowsaraNa/walamArjana/walakarRaNa/nikarRaNa
drought_noun	sUKA/anAvqRti
durability_noun	cirasWAyiwva
dusting_noun	JAdanA
effect_noun	praBAva
efflorescena_noun	uwPullana
elevation_noun	unnayana/UzcAI
embankment_noun	watabanXa
equidimensional_noun	samAna_AyAmI/vimiwIya
equipment_noun	upaskara/upakaraNa
equipped_noun	susajjiwa
erosion_noun	aparaxana
establish_noun	sWApiwa
estimate_noun	Akalana/Akalana_karanA/Akaliwa_karanA
ettringite_noun	itrinjAita
evaluation_noun	mUlyAfkana
evapo-transpiration_noun	vARpana-uwsarjana
evaporability_noun	vARpaSIlawA
excavation_noun	KuxAI
exothermic_noun	URmAkRepI/AkRepaka
expansion_noun	prasAra
expansive_noun	prasaraNaSIla
exploration_noun	anveRaNa/Koja
extensibility_noun	viswIrNawAkArI/viswIrNa_hone_kI_kRamawA
extensometer_noun	xIrGa_anwara_mApI/eksatenso_mItara
extractor_noun	nicodaka/niRkAsaka
facilities_noun	suviXAeM
factor_noun	guNaka/kAraka
feasibility_noun	vyavahAryawA
features_noun	lakRaNa
ferrate_noun	lohA_+_amla_kA_miSraNa/lohAmala_miSraNa
fine_noun	sUkRma/mahIna/bArIka
flocculation_noun	UrNana
flux_noun	Plaksa
foundations_noun	nIMva
freezing_noun	himakArI
frequency_noun	Avqwwi
friction_noun	GarRaNa
funnel_noun	kIpa/Panala
galvanizing_noun	jaswA_caDAnA/gElvanIkaraNa
gauge_noun	geja/pramApI
glassy_noun	kAFca_ke_samAna/SISe_ke_samAna
gradation_noun	SreNIkaraNa/koti_nirXAraNa/wala_sanwulana
grading_noun	grediMga/SreNIkaraNa
granular_noun	kaNamaya/xAnexAra
granulator_noun	xAnexAra_banAne_vAlA
gravel_noun	bajarI
gravimetrie_noun	BArAwmaka
grinding_noun	peRaNa/pIsanA/GarRaNa/GisAI
grout_noun	grAuta
grouting_noun	grAuta_karanA
halloysite_noun	hEloijAita
hammer_noun	haWOdA/Gana
histogram_noun	histogrAma/Ayawa_ciwra
hole_noun	surAKa/Cixra/Cexa
homogeneity_noun	samAfgawA
horizontal_noun	kREwija
humidity_noun	ArxrawA_yA_namI
hydrated_noun	jala_miSriwa
hydraulic_noun	jalIya/xravIya
hydrology_noun	jala_vijFAna
hydrolysis_noun	jalIya_viSleRaNa
hydrometer_noun	hAidromItara
hydrophilic_noun	jalasnehI/jala_ke_samAna/jalavaw
hydrophobic_noun	jala_viroXI
hygroscopic_noun	ArxrawA_xarSI/namo_xarSI/xravagrAhI
ideal_noun	AxarSa
identification_noun	pahacAna/aBinirXAraNa/aBijFAna/wAxAwmaya
igneous_noun	Agneya
indicator_noun	sUcaka
infrastructure_noun	avasWApanA/avasaMracanA
ingradient_noun	Gataka
innocuous_noun	ahAnikara
inspection_noun	nirIkRaNa
installation_noun	aXiRTApana/saMsWApana
instructions_noun	anuxeSa
instrumentation_noun	mApayanwraNa/yanwrIkaraNa
insulator_noun	avaroXI/URmAroXI
intake_noun	anwagrarhaNa
interflow_noun	anwaprarvAha
interior_noun	aByanwara/anwarafga/anwa/Anwarika/anwasWa:
internal_noun	Anwarika
interstitial_noun	anwarAlIya_xarAravAlA/bIca_ke_sWAna_meM_sWiwa
investigations_noun	anveRaNa
jack_noun	jEka/uwWApaka
jetty_noun	jEtI/GAta
journal_noun	pawrikA/jarnala
kiln_noun	BatTA
kinematics_noun	SuxXa_gawi_vijFAna
lathe_noun	KarAxa
level_noun	swara/sawaha
limit_noun	sImA/haxa
linings_noun	lAiniMga
liquid_noun	xrava/warala
load_noun	BAra
loam_noun	xUmata
location_noun	avasWiwi/sWAna
logging_noun	saMleKana
maintenance_noun	anurakRaNa/raKaraKAva
mapping_noun	mAnaciwraNa
masonry_noun	cinAI
materials_noun	sAmagriyAM
measurement_noun	nApa/mApa/mApana
medium_noun	mAXyama
metastable_noun	miwasWAyI
mica_noun	aBraka
micrometer_noun	sUkRma_mApI
mineralogical_noun	KanijIya/Kanija_vijFAna_sambanXI
monitoring_noun	praboXana/anuSravaNa
morphology_noun	Akqwi_vijFAna
mortar_noun	gArA/masAlA
mould_noun	sAFcA
multi-dimensional_noun	bahu-AyAmI
multi-disciplinary_noun	bahu-viRayaka
multiaxial_noun	bahuakRIya
navigation_noun	nOsaFcAlana/nOvahana
normality_noun	sAmAnyawA
nozzle_noun	nojela
numbering_noun	safKyaMAkana
numeric_noun	afkIya
objectives_noun	uxxeSya
observation_noun	prekRaNa
office_noun	kAryAlaya
optimisation_noun	iRtawamIkaraNa
organization_noun	safgaTana
osmosis_noun	osamosisa/parAsaraNa
outlet_noun	nissaraNa_mArga/nikAsa
oven_noun	BatTI
overflow_noun	uwplAvI/aXipravAha
oxide_noun	oYksAida
patrolman_noun	petrolamena/cOkIxAra
penetration_noun	beXana/praveSa
penstock_noun	penastoYka/jala_nissAraka
percentage_noun	prawiSawa
perforated_noun	saCixra/Cixriwa/Cixrila
performance_noun	niRpAxana
periclase_noun	tukade-tukade_honA/pariklesa
permeability_noun	pAragamyawA
petrographic_noun	SEla_vargika
petroleum_noun	pEtroliyama
petrological_noun	praswara/SEla_vijFAna_sambanXI
pile_noun	nIMva_swamBa
pipette_noun	pipeta
polishing_noun	poYlisa_karanA/camakAnA
porosity_noun	saMraXrawA
portable_noun	vahanIya
potential_noun	viBava
pozzolana_noun	jvAlAmuKI_Basma_yA_rAKa/pojolAnA
pre-consolidation_noun	pUrva_sampiMdana
precipitation_noun	avakRepaNa/varRaNa
presentation_noun	praswuwIkaraNa
principles_noun	sixXAnwa
probable_noun	samBAviwa
procedure_noun	prakriyA/kAryaviXi
processing_noun	saMsAXana
progress_noun	pragawi
properties_noun	guNa
proportions_noun	anupAwa/samAnupAwa
provisions_noun	prAvaXAna
qualitative_noun	guNAwmaka
quality_noun	guNavawwA
quantification_noun	mAwrA_nirXAraNa
quantitative_noun	mAwrAwmaka/parimANAwmaka
quantity_noun	mAwrA/parimApa
quarry_noun	KaxAna/KulI_KAna
radius_noun	arxXa_vyAsa/wrijyA
rainfall_noun	varRA
range_noun	sImA
rapid_noun	xruwavAha/wvariwa/SIGra/weja
reach_noun	KaNda/pahuFca
reagents_noun	aBikarmaka/prawikriyASIla_xravya_yA_Sakwi
recharge_noun	puna:_pUraNa/pUrwi
reciprocating_noun	prawyAgAmI
records_noun	aBileKa
recycled_noun	punarcakriwa/punarAvarwiwa
reduction_noun	katOwI
refrigerator_noun	praSIwaka/Prija
relative_noun	ApekRika/sApekRa
reports_noun	prawivexana/riportasa
reservoir_noun	jalASaya
resistance_noun	prawiroXa
retardation_noun	manxana/XImA_karanA
retention_noun	XAraNa
revolution_noun	parikramaNa
rigidity_noun	xqDawA
rotation_noun	GUrNana
rough_noun	KuraxarA
rounded_noun	golAkAra
saline-alkaline-soil_noun	lavaNIya-kRArIya-mittI
salinity_noun	lavaNawA
sample_noun	namUnA/prawixarSa
sampling_noun	prawi_cayana/namUnA_lenA
sand_noun	rewa/bAlU
sanitary_noun	svacCawA/saPAI
saturated_noun	sanwqpwa
saturation_noun	sanwqpwi/BarAI
scarcity_noun	nyUnawA/kamI
scoop_noun	uxagarwa
scope_noun	kAryakRewra
scouring_noun	nirGarRaNa
sea-bed_noun	samuxra_wala
section_noun	anuBAga
sedimentation_noun	avasAxana
seepage_noun	risana/risanA
segregation_noun	pqWakkaraNa
semi-arid_noun	arxXaSuRka
settlement_noun	banxobaswa/avasWApana/niRIxana
shallow_noun	uWalA/CiCalA
shape_noun	Akqwi/AkAra
shear_noun	aparUpaNa
shoal_noun	Sola/mAXasWala
sieves_noun	CalanI/cAlanI
silica_noun	silikA
silicates_noun	siliketa
silt_noun	gAxa
siltometer_noun	gAxamApI_yanwra/siltomItara
sintery_noun	siMtarI/wApa_puFjana
site_noun	sWala
size_noun	AkAra
slake_noun	Samana/buJAnA
slope_noun	DAla/DalAna/pravaNawA
