##Added by Roja (25-05-12)	##Added by Roja (25-05-12)
##Science Compound Dictionary .	##Science CoMpound Dictionary .
##Extracted from 'Class10_Science_Index_NCERT_TextBook_HindiEdition.pdf'	##Extracted from 'Class10_Science_Index_NCERT_TextBook_HindiEdition.pdf'
#Science_word	Hindi_word_in_wx
############################################################################	############################################################################
Colon	bqhaxrAnwra
Colour	rafga/varNa
Combination_reaction	saMyojana_aBikriyA
Combustion	xahana
Commutation	xikparivarwaka
Compile	safkaliwa
Concave	avawala
Concentration	safkeMxraNa/sAnxraNa
Conductor	cAlaka/sucAlaka
Configuration	vinyAsa
Conical	SafkvAkAra
Consistency	aviroXa
Consumers	upaBokwA
Contamination	sanxURaNa
Contrasting	viRamAfgI
Conventional	pAramparika
Convention	paripAtI
Converging	aBisArI
Convex	uwwala
Copies	prawirUpa
Copy	prawikqwi
Cornea	koYrniyA/svacCamaNdala
Corneal_blindness	koYrniyA_anXawA
Corrosion	safkRAraNa
Cross_pollination	para_parAgaNa
Crystalline_lens	kristalIya_leMsa
Current_carrying	XArAvAhI
Current_rating	XArA_anumAwAfka
Curved_mirror	vakriwa_xarpaNa
Cycle	cakraNa
Damaged	kRawigraswa
Damage	kRawi
Decay	kRaya
Decomposers	apaGataka
Decomposition	apaGatana
Denature	vikqwa
Dendrite	xrumikA
Depict	ciwriwa
Depletion	apakRayana
Design	aBikalpa
Detection	saMsUcana
Detergent	apamArjaka
Development	parivarXana
Deviation	vicaraNa
Dialysis	apohana
Diastole	anuSiWilana
Diatomic	xviparamANu
Differentiation	viBexana
Diffraction	vivarwana
Digestion	pAcana/sampAcana
Direct_current	xiRta_XArA
Disfigurement	virUpaNa
Disinfectant	rogANunASaka
Dispersion_of_light	prakASa_kA_parikRepaNa
Displacement	visWApana/visWApana_aBikriyA
Disposable	nivarwanIya/prayojya
Disprove	apramANiwa/asawya
Dissociation_reaction	viyojana_aBikriyA
Dissociation	viyojana
Distinct	suspaRta
Distinguish	viBexa
Distribution	viwaraNa
Diverging	apasArI
Dobereiner	dAberAinara
Dominant_traits	praBAvI_lakRaNa
Double_displacement_reaction	xvi-visWApana_aBikriyA
down_stream	arXa_pravAha
d/s	arXa_pravAha
Ductility	wanyawA
Earlobe	karNapAli
Earth_crust	BU-parpatI
Earth_wire	BU-samparka_wAra
Ecological	pArisWiwika
Eco-system	pArisWiwika_wanwra/pAriwanwra
Effervescence	buxabuxAhata
Efficiency	xakRawA
Egg_cell	aNdakoSikA
Electrical_generator	vixyuwa_janiwra
Electrical	vExyuwa
Electric_current	vixyuwa_XArA
Electric_iron	vixyuwa_iswarI
Electricity	vixyuwa
Electric_meter	vixyuwa_mApaka_yanwra
Electric_motor	vixyuwa_motara
Electrolysis	vixyuwa_apaGatana
Electromagnetic_induction	vixyuwa_cumbakIya_preraNa
Electro_magnet	vixyuwa_cumbaka
Electronegative	vixyuwa_qNAwmaka
Electrovalent_compound	vExyuwa_saMyojaka_yOgika
Element	wawva
Embryo	BrUNa
Emergent_ray	nirgawa_kiraNa
