#telecommunication dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)	#telecommunication dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries	#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun' by default	#          3) Added category as 'noun' by default
#########################################################################################	#########################################################################################
pointer_noun	sUcaka
polar_noun	XqvIya
polarisation_noun	XruvaNa/XqvIkaraNa
pole_noun	Xruva
porclain_noun	cInI_mittI
portable_noun	suvAhya
position_noun	avasWA/sWiwi
positive_noun	GanAwmaka
post_noun	KamBA
potential_noun	vixyuwa_xAba/viBava
potentiometer_noun	vixyuwaxAba_mApI
primary_noun	prAWamika
principle_noun	sixXAnwa
proceed_noun	Age_baDo
propagation_noun	saFcaraNa
protector_noun	rakRaka
psophometer_noun	soPomItara
radiation_noun	vikiraNa
radiator_noun	vikiraka
ratio_noun	anupAwa
reactance_noun	prawikAryawA
reactor_noun	aBikriyaka
reception_noun	safgrahaNa/aBigrahaNa/Agamana
rectifier_noun	ekaxiSakArI/pariSoXaka
reflector_noun	parAvarwaka
regeneration_noun	punaryojana
relay_noun	prasAraNa/rile
release_noun	nirmukwi
renewal_noun	navIkaraNa
repeater_noun	punarAvarwaka
repulsive_noun	prawikarRI
resistance_noun	prawiroXa
resistivity_noun	prawiroXiwA
resistor_noun	prawiroXaka
resonance_noun	anunAxa/saMspanxana
retentivity_noun	XAraNa_kRamawA
revolution_noun	parikramaNa
ripple_noun	lahara/warafga
rodding_noun	Cada_vyavasWA
rotary_noun	GUrNI
routiner_noun	nemaka
routing_noun	paWa_nirXAraNa
safe_noun	surakRiwa
safety_noun	saMrakRA
sag_noun	Jola
saturated_noun	sanwqpwa
scaling_noun	anumApana
scanning_noun	aMSekRaNa
scintillation_noun	sPUraNa
secondary_noun	saFcAyaka/gONa
selectivity_noun	cayanAwmakawA
selector_noun	saMvaraka
sensitivity_noun	sugrAhiwA
sequence_noun	anukrama
series_noun	SreNI
shackle_noun	SEkala
shaft_noun	SAPta
sheath_noun	SIWa
sheet_noun	cAxara/parwa
shield_noun	DAla
shunting_noun	SatiMga
siding_noun	sAidiMga
signs_noun	cihma
site_noun	sWAna
size_noun	AkAra/mApa
sketch_noun	reKAciwra
slide_noun	slAida
slot_noun	KAFcA
sound_noun	Xvani
sounder_noun	Xvaniwra
specification_noun	viSiRti
spilliting_noun	vipAtana
spiral_noun	sarpila
spool_noun	caKa
sprag_noun	guttI/roka
spring_noun	kamAnI
stability_noun	sWirawA
standard_noun	mAnaka
steam_noun	BApa
steel_noun	ispAwa
stop_noun	roka
strap_noun	pattaka
stress_noun	prawibala
stylus_noun	kaNtikA/anI
sub_noun	upa/apa
subsidiary_noun	sahAyaka
super_noun	awi/supara
