#it multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)	#it multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries	#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun' by default	#          3) Added category as 'noun' by default
#          4) If last word is not punctuation then treated last word as head	#          4) If last word is not punctuation then treated last word as head
#             or else treated last but one word as head	#             or else treated last but one word as head
#################################################################################	#################################################################################
access_right	aBigama_aXikAra#aBigama_aXikAra#noun#2#RM
access_scan	aBigama_kramavIkRaNa#aBigama_kramavIkRaNa#noun#2#RM
access_security	aBigama_surakRA#aBigama_surakRA#noun#2#RM
access_server	aBigama_parisevaka/aBigama_sarvara#aBigama_parisevaka/aBigama_sarvara#noun#2#RM
access_structure	aBigama_saMracanA#aBigama_saMracanA#noun#2#RM
access_time	aBigama_kAla#aBigama_kAla#noun#2#RM
access_unit	aBigama_ekaka/aBigama_ikAI#aBigama_ekaka/aBigama_ikAI#noun#2#RM
accessibility_matrix	aBigamyawA_mEtriksa#aBigamyawA_mEtriksa#noun#2#RM
accessing_flexibility	aBigamana_namyawA#aBigamana_namyawA#noun#2#RM
account_number	KAwA_safKyA#KAwA_safKyA#noun#2#RM
account_package	leKA_pEkeja/leKA_safkula#leKA_pEkeja/leKA_safkula#noun#2#RM
accounting_and_finance	leKAfkana_eMva_viwwa#leKAfkana_eMva_viwwa#noun#3#RM
accounting_finance_system	leKAfkana_viwwa_wanwra#leKAfkana_viwwa_wanwra#noun#3#RM
accounting_machine	leKAfkana_maSIna#leKAfkana_maSIna#noun#2#RM
accounting_objectives	leKAfkana_uxxeSya#leKAfkana_uxxeSya#noun#2#RM
accounting_prudence	leKAfkana_kuSalawA#leKAfkana_kuSalawA#noun#2#RM
accounting_rate_of_return	prawiPala_leKAfkana_xara#prawiPala_leKAfkana_xara#noun#4#RM
accounting_service_function	leKAfkana_sevA_Palana#leKAfkana_sevA_Palana#noun#3#RM
accounting_standards	leKAfkana_mAnaka#leKAfkana_mAnaka#noun#2#RM
accounting_systems	leKAfkana_wanwra#leKAfkana_wanwra#noun#2#RM
accounts_payable	leKA_xeya#leKA_xeya#noun#2#RM
accounts_receivable	leKA_aBigrAhya#leKA_aBigrAhya#noun#2#RM
accrued_expenses	upArjiwa_vyaya#upArjiwa_vyaya#noun#2#RM
accumulating_reproducer	saFcayI_punarUwpAxaka#saFcayI_punarUwpAxaka#noun#2#RM
accumulator_register	saFcAyaka_paFjI#saFcAyaka_paFjI#noun#2#RM
accumulator_shift_instruction	saFcAyaka_visWApana_anuxeSa#saFcAyaka_visWApana_anuxeSa#noun#3#RM
accuracy_control_character	pariSuxXawA_niyanwraNa_samprawIka#pariSuxXawA_niyanwraNa_samprawIka#noun#3#RM
accuracy_control_system	pariSuxXawA_niyanwraNa_wanwra#pariSuxXawA_niyanwraNa_wanwra#noun#3#RM
ace_pilot	uwkqRta_mArgaxarSI/uwkqRta_pAyalata#uwkqRta_mArgaxarSI/uwkqRta_pAyalata#noun#2#RM
acid_test_ratio	amla_parIkRaNa_anupAwa#amla_parIkRaNa_anupAwa#noun#3#RM
acknowledge_character	aBisvIkAra_samprawIka#aBisvIkAra_samprawIka#noun#2#RM
acknowledge_frame	aBisvIkAra_Prema#aBisvIkAra_Prema#noun#2#RM
acknowledged_operation	aBisvIkqwa_pracAlana#aBisvIkqwa_pracAlana#noun#2#RM
acknowledgement_frame	aBisvIkqwi_Prema#aBisvIkqwi_Prema#noun#2#RM
acknowledgement_policy	aBisvIkqwi_nIwi#aBisvIkqwi_nIwi#noun#2#RM
acl_access_control_list	e_sI_ela/aBigama_niyanwraNa_sUcI#e_sI_ela/aBigama_niyanwraNa_sUcI#noun#4#RM
acoustic_coupler	Xvanika_yugmaka#Xvanika_yugmaka#noun#2#RM
acoustic_coupling	Xvanika_yugmana#Xvanika_yugmana#noun#2#RM
acoustic_delay_line	Xvanika_vilamba_lAina#Xvanika_vilamba_lAina#noun#3#RM
acoustic_digitizer	Xvanika_afkaka#Xvanika_afkaka#noun#2#RM
acoustic_memory	Xvanika_smqwi/Xvanika_mEmorI#Xvanika_smqwi/Xvanika_mEmorI#noun#2#RM
