usa_jagaha	vahAz/usa_jagaha
xanAxana	lagAwAra/anavarawa/niranwara/niranwara/wAbadawoda/xanAxana/sawawa/XUAzXAra/ananwara/ananwara/avirAmawaH/aniSa/prawikRaNa/anukRaNa/XadAXada/avirawa/muwwasila/avicCinna/avicCexa/aviSrAnwa/aviSrAnwa/asarAra/aharaha/Asafga/Asafga/ikawAra/xanAxana
BIwara	anxara/anxara/BIwara/anxara/anxara/BIwara
saxEva	hameSA/saxA/niwya/saxEva/niwya_prawi/sarvaxA/sarvaWA/haraxama/haravakwa/harasamaya/xina-rAwa/xinarAwa/xina_rAwa/rAwa-xina/rAwaxina/niSixina/nisa-vAsara/nisavAsara/niSivAsara/niranwara/niranwara/anavaXi/sarvaxEva/aharaha/pinnA/aharniSa/ahorAwra
aparAXAnusAra	yaWAparAXa/aparAXAnusAra
apArWa	vyarWa/PajUla/PijUla/PijUla/anerA/yoM_hI/vqWA/apArWa/bAxa-havAI/bAxahavAI/ahewu/ahewuka/aviraWA
ke_anxara	ke_anxara/ke_anxara/ke_BIwara/meM
sAWa	sAWa-sAWa/sAWa_hI/sAWa_hI_sAWa/sAWa/eka_sAWa/ikatTA/ikajora/ekawra/ikawra
sahajawA_se	AsAnI_se/sahajawA_se/saralawA_se/Kela_Kela_meM/sahajawaH/anEse
wejI_se	kasakara/joraxAra/weja/weja/wIvra/wejI_se/jora_se/wejI_se/jora_se/wIvrawA_se
labareja	labAlaba/labareja/labareja
AKirakAra	anwawaH/anwawogawvA/anwa_meM/AKira/AKira/AKirakAra/AKirakAra/howe_havAwe
ekafga	akelA/akele/kevala/sirPa/mAwra/KAlI/KAlI/basa/nipata/mahaja/sirPa/wanhA/wanahA/ekAkI/ekameva/ekafga/ikelA
rAwoM-rAwa	rAwoM-rAwa/rAwoMrAwa
SiRtawaH	SiRtawaH/saByawaH/bAsaUra/SAlInawaH/SiRtAcArapUrvaka/salIke_se
AjFApUrvaka	AjFApUrvaka/AxeSapUrvaka/sAxeSa/AxeSa_se
jabarana	balapUrvaka/barabasa/jabaraxaswI/jabaraxaswI/jabarana/jabarana/barajorI
niwAnwa	bilkula/bilakula/ekaxama/nipata/sarAsara/TIka/niwAnwa/niwAnwa/pUrNawaH/pUrI_waraha_se/pUrNawayA/sampUrNawaH/sampUrNawayA/pUrNarupeNa/AmUlacUla/Sawa-prawiSawa
sABAra	sABAra/kqwajFawApUrvaka
yaWeRta	paryApwa/kAPI/kAPI/yaWeRta/alam/alaM
bArambAra	bAra-bAra/bAra_bAra/bArambAra/bArambAra/asakqwa/ahora-bahora
PUta-PUtakara	PUta-PUtakara/PUtaPUta_kara
savere	sabere/savere/subaha/wadake/subaha-subaha/subaha_savere/jalxI/savere/sabere
yaWAvAFCiwa	icCAnusAra/icCAnukula/yaWecCa/yaWABIRta/yaWAvAFCiwa
akelA	akelA/akele/kevala/sirPa/mAwra/KAlI/KAlI/basa/nipata/mahaja/sirPa/wanhA/wanahA/ekAkI/ekameva/ekafga/ikelA
karIbana	anxAjana/anxAjana/anxAjana/anxAjana/lagaBaga/wakarIbana/wakarIbana/karIba/karIba/karIbakarIba/karIbana/karIbakarIba/karIbana/anumAnawaH/anakarIba/anakarIba/waKamInana/anxAja_se/ukavAz
iXara	iXara/isa_ora/yahAz_para/iwaH/iwa/iwE/iwWe
bA-jAbwA	niyamAnusAra/yaWAniyama/bA-jAbwA
kAlha	kala/kAlha
mara-marakara	awyaXika_prayawnapUrvaka/mara-marakara
cAroM_waraPa	cAroM_ora/cAroM_waraPa/cAroM_waraPa/cahuz_ora/sarvawra/saBI_waraPa/cAroM_xiSAoM_meM/hara_jagaha/irxa-girxa
baga-mela	bagamela/baga-mela
pravAha_kI_xiSA_meM	pravAha_kI_xiSA_meM/pravAha_kI_ora
samaya-samaya_para	samaya-samaya_para/bIca-bIca_meM
akele	akelA/akele/kevala/sirPa/mAwra/KAlI/KAlI/basa/nipata/mahaja/sirPa/wanhA/wanahA/ekAkI/ekameva/ekafga/ikelA
jiMxagIBara	mqwyuparyanwa/AjIvana/wAumra/umraBara/jiMxagIBara/jiMxagIBara/jIvanaBara/AmaraNa/anwima_xama_waka
sAWa_hI	sAWa-sAWa/sAWa_hI/sAWa_hI_sAWa/sAWa/eka_sAWa/ikatTA/ikajora/ekawra/ikawra
xviguNiwa	xugunA/xUnA/xogunA/xuganA/xviguNa/xviguNiwa
XyAnapUrvaka	sAvaXAnIpUrvaka/XyAnapUrvaka/XyAna_se/sAvaXAnI_se/sAvaXAnawaH/samBAlakara/samBAlakara
viSvasanIyawA_se	viSvAsa_ke_sAWa/viSvasanIyawA_se/viSvAsapUrvaka
yOM_hI	vyarWa_hI/yoM_hI/JUTa-mUTa/yOM_hI/yUz_hI/Ese_hI/nAhaka/nAhaka/PajUla/PajUla/PijUla/PijUla/anahaka/anAhaka
xina-xina	xina-prawixina/xina-xina/xina-para-xina/xina-baxina/xina-ba_xina/xinaprawixina/xinaxina/xinabaxina/xinoM-xina/xinoMxina
mOnawaH	cupacApa/cupa/mOna/SAnwa/SAnwa/KAmoSI_se/KAmoSI_se/niSSabxa/avAka/avAk/bina_bole/mOnawaH
aviSrAnwa	lagAwAra/anavarawa/niranwara/niranwara/wAbadawoda/xanAxana/sawawa/XUAzXAra/ananwara/ananwara/avirAmawaH/aniSa/prawikRaNa/anukRaNa/XadAXada/avirawa/muwwasila/avicCinna/avicCexa/aviSrAnwa/aviSrAnwa/asarAra/aharaha/Asafga/Asafga/ikawAra
BaviRya_meM	BaviRya_meM/Age/BaviRya_kAla_meM/agawyA
ukadUz	ukadUz/ukadU/ukadUz/ukadU/ukurU
kuSalapUrvaka	sakuSala/kuSalawApUrvaka/kuSalapUrvaka/sahI_salAmawa/sahI-salAmawa/TIka-TAka/TIka_se/TIka-TAka_se/TIkaTAka/baKEra/baKEra/baKErIya/baKErIyawa/surakRiwawaH
warawIba_se	warIke_se/warIke_se/warawIba_se/karIne_se/karIne_se/vyavasWApUrvaka/vyavasWiwawaH/karInAvAra/karInAvAra
kula_milAkara	kula_milAkara/saba_milAkara
anwima_xama_waka	mqwyuparyanwa/AjIvana/wAumra/umraBara/jiMxagIBara/jiMxagIBara/jIvanaBara/AmaraNa/anwima_xama_waka
jaba	jaba/yaxA/yaxi/agara/jaba
